                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7245,                 2.3015,                 1.5551,                0.56777,                0.49482,                0.49013,                0.24657,                 1.6395,                 7.1532,                 1.4589,               0.070111,               0.003321,               0.003321
                      1,                  1.555,                 1.5171,                 1.4213,                0.59863,                0.54072,                0.55836,                0.27444,                 1.6016,                 4.0434,                 1.4119,               0.040089,              0.0066324,              0.0066324
                      2,                 1.5686,                 1.5237,                 1.4337,                0.45426,                0.33838,                0.31911,                0.14474,                 1.9421,                 5.1683,                 1.7066,               0.010045,              0.0099217,              0.0099217
                      3,                 1.6153,                 1.5698,                 1.4815,                0.55588,                0.49528,                0.51384,                0.25147,                 1.7048,                 8.6331,                 1.5282,               0.009901,               0.009901,               0.009901
                      4,                 1.5884,                  1.531,                 1.4672,                0.59204,                0.51977,                0.54339,                0.26479,                  1.618,                 2.7842,                 1.4547,               0.009901,               0.009901,               0.009901
                      5,                 1.5733,                 1.4742,                 1.4503,                0.59225,                0.51354,                0.54134,                 0.2596,                 1.6448,                 2.3102,                 1.4671,               0.009868,               0.009868,               0.009868
                      6,                  1.534,                 1.4135,                 1.4261,                0.60589,                0.55408,                0.58599,                0.29796,                 1.5735,                 2.7343,                 1.4351,               0.009835,               0.009835,               0.009835
                      7,                 1.5145,                 1.3635,                 1.4139,                0.63236,                0.53718,                0.58772,                0.29876,                 1.5908,                 2.6349,                 1.4285,               0.009802,               0.009802,               0.009802
                      8,                 1.5001,                 1.3398,                 1.4101,                0.61099,                0.55313,                0.58261,                0.30041,                 1.5476,                 5.0252,                 1.4186,               0.009769,               0.009769,               0.009769
                      9,                 1.4721,                  1.302,                 1.3908,                0.66759,                0.59345,                0.64936,                0.33938,                 1.4696,                 2.9807,                  1.346,               0.009736,               0.009736,               0.009736
                     10,                 1.4652,                 1.2873,                 1.3872,                0.67216,                0.59832,                 0.6612,                0.35879,                 1.4351,                  2.529,                 1.3303,               0.009703,               0.009703,               0.009703
                     11,                 1.4542,                 1.2726,                  1.382,                0.67826,                0.62254,                0.67859,                0.36598,                 1.4691,                 1.5942,                 1.3575,                0.00967,                0.00967,                0.00967
                     12,                 1.4399,                 1.2401,                 1.3724,                 0.6897,                0.58803,                0.65545,                 0.3493,                 1.4845,                  2.138,                  1.352,               0.009637,               0.009637,               0.009637
                     13,                 1.4298,                 1.2178,                 1.3599,                0.68102,                 0.6329,                0.68469,                0.37103,                 1.4486,                 1.6929,                 1.3391,               0.009604,               0.009604,               0.009604
                     14,                 1.4361,                 1.2226,                 1.3608,                0.69245,                0.62262,                0.68947,                0.37854,                 1.4058,                 1.5429,                 1.2879,               0.009571,               0.009571,               0.009571
                     15,                 1.4019,                 1.1779,                 1.3443,                0.70012,                 0.6355,                0.69598,                0.38055,                 1.4289,                 1.8103,                 1.3026,               0.009538,               0.009538,               0.009538
                     16,                 1.4073,                 1.1772,                 1.3392,                0.70219,                0.65452,                0.71007,                0.38798,                 1.4301,                 1.6901,                 1.3186,               0.009505,               0.009505,               0.009505
                     17,                 1.4001,                 1.1692,                 1.3417,                 0.7311,                0.65732,                0.72383,                0.39965,                 1.4024,                 1.5401,                 1.2866,               0.009472,               0.009472,               0.009472
                     18,                 1.3862,                  1.156,                 1.3333,                0.71253,                0.66169,                0.72172,                0.39953,                 1.3948,                 1.4059,                 1.2911,               0.009439,               0.009439,               0.009439
                     19,                 1.3915,                 1.1515,                 1.3319,                0.71258,                0.67126,                0.72742,                0.40536,                 1.3891,                 1.4742,                 1.2868,               0.009406,               0.009406,               0.009406
                     20,                  1.381,                 1.1292,                 1.3249,                0.71891,                0.67824,                0.73649,                0.41465,                 1.3873,                 1.3163,                 1.2823,               0.009373,               0.009373,               0.009373
                     21,                 1.3642,                 1.1059,                 1.3155,                0.73598,                0.66093,                 0.7331,                0.41304,                  1.396,                 1.2371,                 1.2784,                0.00934,                0.00934,                0.00934
                     22,                 1.3685,                 1.1111,                 1.3111,                0.72625,                0.67526,                 0.7388,                0.41566,                 1.3869,                 1.3026,                 1.2784,               0.009307,               0.009307,               0.009307
                     23,                 1.3552,                 1.0948,                 1.3095,                0.74235,                0.67586,                0.74768,                0.41997,                  1.392,                 1.2494,                 1.2897,               0.009274,               0.009274,               0.009274
